Stretch ratio (-),NeoHookean Pzz (Pa),NeoHookean Pxx (Pa)
3.3399999999999985,2141.701091220262,-3.4808785096326155e-11
3.3499999999999983,2148.6215973249314,-1.535511221944514e-10
3.3599999999999985,2155.5387686324334,-2.0365125266253798e-10
3.3699999999999983,2162.4526418603946,1.3319219456985399e-11
3.3799999999999986,2169.3632531761136,-2.667746925094834e-11
3.3899999999999983,2176.270638206542,-1.75326628016318e-11
3.3999999999999986,2183.1748320476045,-1.070213883248592e-10
3.4099999999999984,2190.0758692736654,-5.107643437808127e-11
3.4199999999999986,2196.9737839465556,3.857241279468477e-11
3.4299999999999984,2203.868609624542,-1.8474300983469785e-10
3.4399999999999986,2210.76037937133,1.2614239900670664e-10
3.4499999999999984,2217.649125764179,-5.221366204118689e-11
3.4599999999999986,2224.534880902883,-2.192737298491643e-11
3.4699999999999984,2231.4176764176273,9.374652790188105e-11
3.479999999999998,2238.2975434772034,1.513918082565002e-10
3.4899999999999984,2245.174512796936,1.8633195666927976e-11
3.4999999999999982,2252.0486146465273,7.294182572639055e-11
3.5099999999999985,2258.919878857494,7.729142092169325e-11
3.5199999999999982,2265.788334830786,1.9307484444565934e-10
3.5299999999999985,2272.6540115439407,-6.217715698602104e-11
3.5399999999999983,2279.5169375585465,1.4158670935079947e-10
3.5499999999999985,2286.3771410268096,-1.0591091785086328e-10
3.5599999999999983,2293.234649698941,-1.5481053935239726e-10
3.5699999999999985,2300.089490929594,8.307968685894835e-11
3.5799999999999983,2306.941691684486,1.5438143192583024e-10
3.5899999999999985,2313.791278547033,-3.5213090601543675e-11
3.5999999999999983,2320.6382777247286,-9.890406681065373e-11
3.6099999999999985,2327.482715055287,1.0765163929891812e-10
3.6199999999999983,2334.3246160126664,-1.5609243209618444e-10
3.629999999999998,2341.1640057134246,-1.8998395019354966e-10
3.6399999999999983,2348.000908922268,-1.305751311998375e-10
3.649999999999998,2354.835350058003,2.0435400692266364e-10
3.6599999999999984,2361.667353199002,-7.370145481038418e-11
3.669999999999998,2368.496942089185,2.6915544303958304e-11
3.6799999999999984,2375.3241401429837,-6.085863648356747e-11
3.689999999999998,2382.1489704510577,1.0620992178318227e-10
3.6999999999999984,2388.9714557852494,-1.0373652227853856e-10
3.709999999999998,2395.791618604046,-1.5712130788357942e-10
3.7199999999999984,2402.609481057411,1.5732992816226785e-11
3.729999999999998,2409.425064991763,1.9779802325779043e-10
3.7399999999999984,2416.238391954868,3.768383125333975e-11
3.7499999999999982,2423.049483200763,1.4479116165685675e-10
3.7599999999999985,2429.8583596941803,1.6431214421796834e-10
3.7699999999999982,2436.665042115301,-8.62228797214735e-11
3.779999999999998,2443.469550864372,1.1981251891322662e-10
3.7899999999999983,2450.2719060658314,1.5084284071981596e-10
3.799999999999998,2457.0721275729397,1.1129173330540205e-10
3.8099999999999983,2463.870234971926,-7.163736851958306e-11
3.819999999999998,2470.6662475863004,2.1341865345605832e-10
3.8299999999999983,2477.460184480672,7.536912561091228e-11
3.839999999999998,2484.2520644651518,-2.1130473314101557e-10
3.8499999999999983,2491.0419060992062,-1.8668429593970923e-11
3.859999999999998,2497.829727695332,-2.937359947642731e-11
3.8699999999999983,2504.615547323194,6.149581741512684e-11
3.879999999999998,2511.399382813158,-5.97892462937217e-11
3.8899999999999983,2518.1812517601834,1.5547044764865564e-10
3.899999999999998,2524.9611715271762,1.0019948564540154e-10
3.9099999999999984,2531.7391592488098,-1.1644966457421701e-11
3.919999999999998,2538.515231834928,2.143575424432889e-10
3.9299999999999984,2545.289405973792,-1.670314907714604e-10
3.939999999999998,2552.061698135878,-5.125112305592697e-11
3.949999999999998,2558.8321245767247,2.8808470879378954e-11
3.959999999999998,2565.600701340447,2.7041561660895837e-12
3.969999999999998,2572.3674442629267,1.7237836643175323e-10
3.979999999999998,2579.132368974771,-2.1235120833400687e-10
3.989999999999998,2585.895490904784,1.3752021772610868e-10
3.9999999999999982,2592.6568252824304,2.536388052106443e-11
4.009999999999998,2599.416387141323,-2.0497430969334012e-10
4.019999999999998,2606.174191321974,-1.1805008393917308e-11
4.029999999999998,2612.9302524745103,2.7275630128424048e-11
4.039999999999998,2619.6845850617283,5.552807331213839e-11
4.049999999999998,2626.437203361768,1.0207718219576757e-10
4.059999999999998,2633.1881214708487,1.596890858518578e-10
4.069999999999998,2639.9373533059133,-1.6353676951469388e-10
4.079999999999998,2646.68491260744,-1.710518815274818e-10
4.089999999999998,2653.4308129417795,-1.877425232252241e-10
4.099999999999998,2660.175067703885,-7.060260668093027e-11
4.109999999999998,2666.917690119722,6.517908624233851e-11
4.119999999999997,2673.658693248762,4.319827242656748e-11
4.129999999999997,2680.3980899864164,-1.8036069255210242e-10
4.139999999999998,2687.1358930665065,1.639916868210848e-10
4.149999999999998,2693.8721150632946,1.724877103480836e-10
4.1599999999999975,2700.6067683940946,-2.050137376523178e-10
4.169999999999997,2707.339865321559,9.523122617225124e-11
4.179999999999998,2714.0714179555043,-9.719464625195732e-11
4.189999999999998,2720.80143825562,2.18713039698026e-10
4.1999999999999975,2727.529938033116,-4.6391781388878985e-11
4.209999999999997,2734.256928953308,-7.617141384036383e-11
4.219999999999998,2740.9824225373536,-5.580013994622325e-12
4.229999999999998,2747.7064301644036,-1.080056960616831e-10
4.2399999999999975,2754.4289630736985,4.101519173168867e-11
4.249999999999997,2761.1500323663904,1.1105578872977979e-10
4.259999999999998,2767.869649007578,-1.1865851454961906e-10
4.269999999999998,2774.587823828325,1.244074981905827e-10
4.279999999999998,2781.3045675272215,-2.069596621851893e-10
4.289999999999997,2788.0198906727087,1.6969510668840576e-10
